,GeneNames,value1,value2,log2FC,p-value
0,LOC_Os09g01000.1,8862,32767,-1.88653936,1.2499999999999999e-55
1,LOC_Os12g42876.1,1099,117,3.2316109510000004,1.0499999999999999e-55
2,LOC_Os12g42884.2,797,88,3.179004295,2.5900000000000003e-54
3,LOC_Os03g16920.1,274,7,5.2906771610000005,4.6899999999999994e-54
4,LOC_Os05g47540.4,308,18,4.096861539,2.1900000000000002e-54
5,LOC_Os09g00999.1,339,1213,-1.8392223719999998,1.9499999999999998e-54
6,LOC_Os01g62900.1,193,4,5.592457037000001,1.5599999999999998e-54
7,LOC_Os09g27030.2,504,162,1.6374299209999998,1.3599999999999996e-54
8,LOC_Os01g51410.2,225,22,3.354349573,6.76e-54
9,LOC_Os12g33946.1,343,79,2.118284018,1.03e-53
10,LOC_Os06g50300.1,377,99,1.929064093,1.7100000000000002e-53
11,LOC_Os04g37619.2,200,14,3.836501268,9.62e-53
12,LOC_Os08g39140.3,239,32,2.900866808,9.89e-51
13,LOC_Os09g31130.1,136,0,,2.47e-48
14,LOC_Os03g03720.1,196,666,-1.764668523,5.45e-41
15,LOC_Os01g62290.1,186,24,2.95419631,1.45e-40
16,LOC_Os02g02400.3,94,443,-2.236574037,1.85e-40
17,LOC_Os08g09200.1,296,84,1.817135943,6.8299999999999994e-40
18,LOC_Os01g50030.1,168,22,2.9328858039999997,2.2599999999999998e-36
19,LOC_Os09g29840.2,205,42,2.287162677,2.36e-35
20,LOC_Os05g47540.1,114,4,4.832890014,9.23e-35
21,LOC_Os02g02410.1,164,23,2.8339900489999996,1.71e-34
22,LOC_Os12g19381.1,65,329,-2.339575961,1.8e-32
23,LOC_Os03g60080.1,120,11,3.4474589769999997,6.22e-30
24,LOC_Os06g40940.3,148,25,2.565597176,8.859999999999999e-29
25,LOC_Os12g17600.1,75,329,-2.133125083,2.3e-28
26,LOC_Os11g05050.1,515,291,0.8235532790000001,6.320000000000001e-28
27,LOC_Os05g39250.1,84,2,5.392317423,4.5299999999999995e-27
28,LOC_Os02g33710.1,170,41,2.051838932,1.25e-26
29,LOC_Os03g17870.1,109,11,3.3087527060000004,1.3899999999999998e-26
30,LOC_Os03g51600.1,36,224,-2.637429921,2.13e-26
31,LOC_Os05g33960.1,94,6,3.969626351,6.46e-26
32,LOC_Os04g38600.3,39,228,-2.547487795,1.19e-25
33,LOC_Os08g41390.2,95,7,3.762500686,1.8e-25
34,LOC_Os01g57960.1,167,493,-1.5617395440000001,8.18e-25
35,LOC_Os01g22010.2,119,18,2.724892762,1.0600000000000001e-24
36,LOC_Os05g02530.1,161,41,1.9733648730000002,3.12e-24
37,LOC_Os12g23200.1,63,276,-2.1312445330000003,5.8200000000000004e-24
38,LOC_Os04g47220.1,118,19,2.634715536,9.470000000000001e-24
39,LOC_Os09g26880.3,111,17,2.706953025,6.990000000000002e-23
40,LOC_Os11g26850.2,158,44,1.84434913,2.4200000000000003e-22
41,LOC_Os04g32950.2,190,64,1.5698556080000001,2.52e-22
42,LOC_Os01g52250.4,501,315,0.669458775,1.0499999999999999e-21
43,LOC_Os01g31690.1,211,542,-1.3610498530000001,6.940000000000001e-21
44,LOC_Os07g14270.3,160,49,1.707218251,7.15e-21
45,LOC_Os05g38530.1,88,10,3.1375035239999995,1.1799999999999999e-20
46,LOC_Os02g51080.1,27,170,-2.654503434,1.42e-20
47,LOC_Os02g27030.1,302,153,0.981016897,1.41e-20
48,LOC_Os12g08770.1,37,194,-2.390459477,2.85e-20
49,LOC_Os02g39360.1,158,49,1.689070904,3.259999999999999e-20
