geneid,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R
gene_11788,0.530954783,0,0.452218099,0,-0.081782745,0,0.600653243,0,0.592926149,0,-0.006402607,0,-0.055836656,0,0.016365403,0,0.035935174,0
gene_3172,-0.100497052,0,0.081999521,0,0.188020789,0,0.881325593,0,0.79160007,0,-0.091229221,0,0.655970286,0,-0.181619429,0,-0.877352442,0
gene_10568,-0.037398793,0,-0.124216049,0,-0.082652461,0,-0.290439284,0,-0.366392616,0,-0.079134478,0,-0.063393203,0,-0.251790855,0,-0.227313251,0
gene_7250,0.530852293,0,1.311356828,0,0.157159155,0,1.738840048,0,2.096963978,0,0.31453592,0,3.331254902,0,4.121091563,0,0.536099307,0
gene_9644,-0.034390946,0,-0.40583255,0,-0.301649422,0,1.573004293,0,1.711126083,0,0.13935807,0,0.329917542,0,3.076991714,0,2.691965971,0
gene_16328,-0.04249197,0,0.587866043,0,0.612153801,0,1.625096946,0,1.220427437,0,-0.414980804,0,0.055015361,0,0.525983704,0,0.428807565,0
gene_12276,0.305553208,0,0.431122947,0,0.112329555,0,0.386091855,0,0.566574067,0,0.173822351,0,0.506069119,0,1.321487855,0,0.774152127,0
gene_15285,0.235377849,0,0.449169927,0,0.194819981,0,0.514218309,0,0.276184921,0,-0.245846322,0,1.321335654,0,-1.143187932,0,-2.500067788,0
gene_15151,-0.531497677,0,-0.671677832,0,0.116313274,0,-0.549960382,0,0.293796883,0,0.805008641,0,-0.220561415,0,-1.320206334,0,-1.086569251,0
gene_10080,-0.094694588,0,-0.243527216,0,0.008752899,0,0.920575672,0,0.310047274,0,-0.359643975,0,0.906068738,0,-0.313906763,0,-1.135775675,0
gene_9249,-0.688476934,0,-0.830195206,0,0.061826615,0,-0.184083138,0,0.066465988,0,0.261634844,0,-0.231909481,0,0.324071909,0,0.518812207,0
gene_2642,0.093297151,0,-0.495922037,0,-0.508154433,0,-0.192239907,0,-0.250828033,0,-0.06116234,0,-1.190195696,0,-2.751118977,0,-1.598848112,0
gene_16089,0.146288109,0,-0.449128208,0,-0.363839308,0,0.585773096,0,0.154751702,0,-0.438084978,0,-1.61940126,0,-2.875989426,0,-1.209106851,0
gene_10909,-0.056629309,0,-0.002960961,0,0.054452077,0,-0.506413895,0,-0.363978743,0,0.138497646,0,0.056932099,0,0.65589639,0,0.556626291,0
gene_8599,0.321496088,0,0.343620268,0,-0.250098453,0,1.242593359,0,1.868848572,0,0.081957291,0,0.780116321,0,2.567110813,0,1.806041308,0
gene_9038,-0.275069925,0,0.098594465,0,0.377650726,0,0.745938696,0,0.654371906,0,-0.102588848,0,1.11952701,0,2.57783315,0,1.40241108,0
gene_9074,0.191779855,0,0.266967982,0,-0.095431633,0,0.145616216,0,0.350124998,0,0.190885859,0,1.16136253,0,3.0834818,0,1.739996663,0
gene_2055,0.269537261,0,0.163589888,0,-0.141140284,0,-1.584612917,0,-0.951430908,0,0.642247013,0,-0.53844876,0,-0.517773971,0,-0.003092019,0
gene_1236,0.795050547,0,0.51441938,0,-0.293564195,0,1.436841022,0,1.644553175,0,0.211205613,0,-0.454554267,0,-3.193074738,0,-2.725200313,0
gene_11270,0.273117372,0,-0.758676504,0,-0.783407791,0,-0.464701803,0,-0.345009916,0,0.117118499,0,0.104391907,0,-0.267474264,0,-0.410991557,0
gene_12399,0.117887844,0,0.163394969,-1.403216915,0.034152636,0,-0.710497584,0,-0.968044024,0,-0.256733218,0,0.105210066,0,0.420320954,0,0.262086169,0
gene_14657,0.732846646,0,0.122130975,0,-0.679617438,0,0.46090482,0,-0.410586711,0,-0.816782938,0,0.263633484,0,0.894469474,0,0.570037203,0
gene_344,-0.393864916,0,-0.413081316,0,-0.005916885,0,0.216333373,0,0.037144148,0,-0.186864771,0,0.222720191,0,0.389740553,0,0.129049192,0
gene_19976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_5127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
