ntv_rich	area	latitude	dist_mainland
1.897627091	1.602059991	42.99	10
1.633468456	0.477121255	41.25	0.3
2.597695186	3.432488256	41.18	20.6
2.238046103	1.785329835	41.42	10.8
2.712649702	3.075546961	41.27	2.7
2.396199347	3.130333768	41.08	6.7
2.572871602	4.133538908	44.75	17.5
1.176091259	0.602059991	44.96	13.2
1.875061263	0.602059991	41.24	1.9
2.568201724	3.278753601	44.05	22.9
2.079181246	2.10720997	44.58	30.1
1.380211242	1	44.5	17.7
2.781755375	4.133538908	41.39	13.4
1.322219295	0.903089987	43.79	30.6
2.792391689	4.425990446	44.33	0.3
1.944482672	2.146128036	41.33	35.7
2.795880017	4.037426498	41.27	42.5
2.558708571	3.361727836	41.47	8.6
2.257678575	1.531478917	41.45	8.5
2.350248018	2.544068044	41.3	34
1.995635195	1.672097858	43.76	1.3
1.838849091	1.662757832	43.86	27.4
