t-SNE-1,t-SNE-2
10.846841,-16.71258
24.794334,-16.775398
2.953309,13.379048
27.262146,-31.88669
-23.015728,64.468376
36.790676,-18.019236
81.03583,-7.6142125
-30.387047,63.77186
-15.39652,-2.9790528
-46.21859,11.978482
-60.82239,-40.374413
79.09517,-8.604884
-37.153156,-18.858006
-73.48587,1.9712921
75.5153,-26.25351
-11.774027,2.696394
-22.526203,-15.650103
1.014268,52.409912
19.667788,21.32458
-80.85691,0.29213288
19.852867,30.855186
-7.471318,18.757692
-68.338066,-6.346191
29.552477,33.758324
5.1655316,18.799715
19.996674,-10.614891
33.987926,-8.628308
31.409191,29.927109
29.026451,-12.218949
-72.20213,0.21854489
-40.372894,-14.531695
31.51973,47.964268
7.129553,14.311046
16.110907,-32.52121
35.147453,-65.073654
-6.7435513,-52.916557
-44.625835,27.017687
10.849508,16.639433
27.61716,43.83443
35.495655,-63.920246
-4.134805,-49.971294
-36.592247,54.854004
3.6634693,-1.6532351
30.257286,-21.392036
3.487294,11.879071
10.48272,16.913815
-6.6594977,16.003056
69.03472,-14.420045
41.626987,-12.963191
22.040215,-8.346808
-51.02639,54.357243
-7.0874696,42.152634
34.895374,50.366756
1.2222531,52.61128
43.24275,-22.481049
40.931152,-61.989235
3.644356,39.892746
-18.0871,-65.91649
28.232721,47.72172
-43.25959,13.233326
-17.63084,-7.7109485
-52.276855,29.086454
31.168036,61.940422
-48.310013,30.104786
35.03216,62.717827
13.686868,-12.970217
15.655424,-13.237315
-57.610035,-28.54787
-70.48103,-3.2993488
-44.03357,-19.707146
-46.201527,44.507877
-47.488037,-28.866028
75.30372,-13.836317
20.712078,-29.26158
-18.476673,-11.106185
-3.9913292,-49.918015
39.133297,-60.47322
-12.852584,-55.930107
71.904945,-23.491669
-51.85329,-18.657509
-9.4866,36.31664
-18.300966,-11.769968
32.827984,31.333086
20.165424,28.538645
-68.619095,-6.2097325
-49.895435,28.506609
50.890842,-0.6128289
-49.664944,38.373245
78.48597,-10.861399
19.707941,-15.34278
1.5788796,50.06784
19.313667,23.230486
-14.324315,-5.6669526
42.063004,-59.55161
25.029774,28.305006
79.819695,-20.832375
-4.721291,40.61823
53.82697,13.602332
-42.918182,46.01143
-11.177065,-63.622555
-29.508553,63.665142
-11.778344,-53.345177
59.125275,11.550422
36.287918,64.19685
-43.215496,39.84272
35.61969,44.19195
22.003407,28.389448
4.8078227,49.988094
-38.125122,43.94609
-41.52114,43.680866
-51.765266,53.67156
15.922382,-2.4066906
-36.522537,-22.723614
27.797949,-24.682354
-47.2579,41.039215
-42.855698,11.142737
-43.245136,52.813282
39.157536,-20.445623
35.368618,38.709206
39.78424,34.796406
-82.51934,0.1352287
-35.679462,-18.718987
-30.955637,69.62708
34.208817,56.44918
78.19517,-7.711613
-48.524452,-25.218473
-44.571026,-21.833511
73.76645,-7.007854
77.034096,-23.084263
-5.039731,47.40716
-39.264393,13.440325
-49.939537,28.841898
-61.319134,-28.631905
-12.374996,38.7465
-6.7653337,10.661109
26.804726,40.407524
-29.365187,-14.83063
-9.442968,-51.600822
-46.89697,41.210373
-51.12774,13.986045
2.9911513,39.951115
18.152658,-33.403904
21.615953,-29.930542
-52.789944,35.107967
-5.623202,13.447238
-31.073917,68.658646
-57.217182,-30.660437
-59.009224,-37.805878
35.658707,-18.984814
22.740707,-10.029854
18.837746,-13.598724
4.2500496,49.006916
-48.644264,-20.562544
-23.643631,66.75803
47.89667,-9.649263
37.186386,-14.950068
-57.182323,-33.486824
24.948124,-68.978546
-62.604088,-33.39968
-34.794895,27.568491
56.44601,8.18764
-4.6934166,-55.09281
35.771885,-59.34805
38.093372,67.050865
-62.46413,-30.801271
-49.865753,47.99232
71.7411,-27.688135
-8.32015,-3.0814066
-47.73285,42.718815
28.575329,-17.745739
-75.55882,-0.15278926
70.9974,-3.7100906
-22.098673,-64.23944
-66.21451,-36.29975
61.31225,0.6046794
12.255582,23.860418
33.010666,-2.1130948
-41.976437,42.10078
-74.57589,-6.7229424
2.4802592,38.792007
-12.121221,-64.90476
-72.133705,-5.8774295
32.263515,46.46124
-48.327007,27.648777
27.237997,-10.750049
-50.097443,11.582539
-17.789026,-60.02613
25.94202,-28.12567
-10.895524,-4.5354667
-34.94374,52.11959
-4.263046,33.965405
-7.2379174,44.857685
-45.075947,-23.655787
26.799936,-17.549747
38.060944,-15.363839
28.094578,-7.5966644
-43.974854,6.9308133
-4.541863,47.992523
-8.049337,51.38982
-81.91583,-0.6410568
-17.110384,-68.9514
-28.999147,68.77279
73.728065,-24.570145
-58.076706,-30.996866
31.652,60.76132
-49.02649,48.261044
-46.498047,40.864048
69.65713,-9.139908
32.550976,39.217594
38.2365,66.57685
-11.2447195,-62.175655
37.156006,-53.52501
-12.31556,-61.785103
-9.134417,-64.28435
25.405386,-35.870693
24.96042,-65.271065
-38.293003,13.194306
35.161922,-60.643322
-1.2832646,9.119178
-27.723606,-14.081859
24.12477,-31.306313
20.39462,23.869627
-9.149552,-56.392296
36.5119,-14.433484
27.341442,28.101606
-31.706951,60.254536
-11.268036,1.9883764
9.674047,-11.210463
36.249138,31.20891
-58.24237,-24.82182
-32.705605,-19.930943
-46.12221,-21.871225
-7.3301096,48.903187
-7.550545,18.553358
-61.767998,-34.67337
4.431128,40.426003
-16.632715,-11.833584
-32.29497,22.4608
-33.70561,17.381725
-52.157764,34.247467
-74.78359,-5.393931
4.4950633,49.803974
-49.3217,10.374443
17.894867,-32.96781
-40.798145,-23.176046
-47.89438,-32.60635
-50.491573,26.303751
74.71005,-24.383677
-40.04115,-24.132893
17.316744,-11.61111
-28.088388,-14.662196
-35.788097,64.49264
-45.8587,46.41297
-11.0319195,-4.7565794
30.541061,44.903133
-43.023567,-23.308344
-16.897127,-13.431235
77.61423,-2.9562213
14.027729,-17.38552
46.1682,-14.876471
-2.478295,37.816914
-44.100468,13.688973
46.428986,-11.521203
39.921486,-4.039048
5.4895186,16.246054
-26.514336,63.295376
-39.87595,17.341475
77.42992,-22.266878
-33.362923,-25.163145
83.14766,-6.0836596
-7.9591265,9.867298
34.35092,35.1304
-54.48099,44.25116
